"","State Code","County Code(FIPS Code)","Place Code","Year Built","Year of Average Daily Traffic","Year of Improvement Cost Estimate","Year Reconstructed","Year of Future Average Daily Traffic","Deck","Superstructure","Substructure","Channel and Channel Protection","Culverts","Location","Facility Carried","Structure Number","Year"
"1",55,51,0,1932,2014,2014,1958,2034,"4","5","5","4","N","6KM NW OF LAC DU FLAMBEAU","    IRR BIA RTE 10","00000000000F303",2015
"2",55,115,0,1948,2014,2014,1990,2034,"4","4","7","5","N","    10 KM  NE  OF  BOWLER","   IRR BIA RTE  24","00000000000F310",2015
"3",55,115,0,1979,2014,2014,0,2034,"6","7","8","6","N","    13 KM  NE  OF  BOWLER","   IRR BIA RTE  21","00000000000F311",2015
"4",55,3,0,1977,2014,2014,0,2034,"5","5","7","4","N","   3 KM  EAST  OF  ODANAH","    IRR BIA RTE  9","00000000000F315",2015
"5",55,3,59450,1980,2014,2014,2003,2034,"7","8","7","7","N","     3 KM  NW  OF  ODANAH","   IRR BIA RTE  52","00000000000F317",2015
"6",55,3,59450,1980,2014,2014,2003,2034,"7","8","7","7","N","        2 KM NW OF ODANAH","   IRR BIA RTE  52","00000000000F318",2015
"7",55,115,0,1884,2014,2014,0,2034,"6","8","8","8","N","   20 KM  NW  OF  GRESHAM","   IRR BIA RTE  21","00000000000F321",2015
"8",55,3,0,1999,2014,2014,0,2034,"7","7","6","5","N","  5.3 KM NORTH OF HWY 169","    IRR BIA RTE 33","00000000000F323",2015
"9",55,3,0,2006,2014,2014,0,2034,"7","7","7","5","N","10KM NORTH OF JCT HWY 169","   IRR BIA RTE  33","00000000000F324",2015
"10",55,3,0,1996,2014,2014,0,2034,"7","7","7","5","N","8 KM NORTH OF JCT HWY 169","   IRR BIA RTE  33","00000000000F325",2015
"11",55,51,0,1996,2013,2014,0,2034,"7","7","7","6","N","13KM N OF LAC DU FLAMBEAU","   IRR BIA RTE  10","00000000000F326",2015
"12",55,3,0,1981,2014,2014,0,2034,"7","7","7","7","N","  7 KM  EAST  OF  ASHLAND","   IRR BIA RTE  19","00000000000F328",2015
"13",55,7,0,2000,2014,2014,0,2034,"7","7","8","7","N","    8KM NORTH OF REDCLIFF","    IRR BIA RTE 16","00000000000F329",2015
"14",55,115,0,2003,2014,2014,0,2034,"7","7","8","6","N","       16KM NW OF GRESHEM","  IRR BIA RTE 1022","00000000000F330",2015
"15",55,51,0,2004,2014,2014,0,2034,"7","7","8","6","N","17KM N OF LAC DU FLAMBEAU"," IRR BIA RTE  1010","00000000000F331",2015
"16",55,78,39250,1977,2014,2014,0,2034,"6","6","5","5","N","15 KM   SOUTH OF LANGLADE","   IRR BIA RTE  51","00000000000F905",2015
"17",55,78,0,1977,2014,2014,0,2034,"7","7","6","7","N","0.3 KM NORTH OF BIA RTE 7","IRR BIA RTE     51","00000000000F906",2015
"18",55,78,0,1985,2014,2014,0,2034,"7","7","7","6","N","9 KM N &11 KM E OF NEOPIT","IRR BIA RTE   1011","00000000000F916",2015
"19",55,78,0,1981,2014,2014,1987,2034,"5","6","4","3","N","           IN      NEOPIT","IRR BIA RTE    146","00000000000F917",2015
"20",55,78,0,1988,2014,2014,0,2034,"N","N","N","6","7"," 10 KM   WEST  OF  NEOPIT","IRR BIA RTE   1018","00000000000F918",2015
"21",55,78,0,1996,2014,2014,0,2034,"7","8","8","8","N","2 KM   NORTH  OF  KESHENA","IRR BIA RTE      9","00000000000F919",2015
"22",55,78,0,2005,2014,2014,0,2034,"7","7","6","7","N","   5 KM SOUTH OF LANGLADE","    IRR BIA RTE  3","00000000000F925",2015
"23",55,78,0,2005,2014,2014,0,2034,"7","7","8","7","N","      10 KM NW OF KESHENA","    IRR BIA RTE 24","00000000000F926",2015
"24",55,78,0,2005,2014,2014,0,2034,"7","7","8","8","N","      14 KM NW OF KESHENA","   IRR BIA RTE 106","00000000000F927",2015
"25",55,78,39250,2006,2014,2014,0,2034,"6","8","8","7","N","                  KESHENA","  IRR BIA RTE 0083","00000000000F928",2015
"26",55,78,0,1960,2014,2014,2006,2034,"7","7","6","6","N","      2.0 KM N OF KESHENA","  IRR BIA RTE 1024","00000000000F929",2015
"27",55,78,0,2005,2014,2014,0,2034,"7","7","7","8","N","       8KM WEST OF NEOPIT","   IRR BIA RTE 120","00000000000F930",2015
"28",55,78,0,2007,2014,2014,0,2034,"N","7","8","8","N","       21 KM NW OF NEOPIT","UPPER BASS LAKE RD","00000000000F932",2015
"29",55,78,0,2008,2014,2014,0,2034,"7","7","8","8","N","              SPEARS ROAD","   IRR BIA RTE 116","00000000000F933",2015
"30",55,78,0,2007,2014,2014,0,2034,"7","7","8","8","N","    11.6KM EAST OF NEOPIT","   STACEY DAM ROAD","00000000000F934",2015
"31",55,57,0,1951,2013,2007,0,2033,"6","6","6","6","N","NECEDAH NWR              ","1st St. West      ","000032530-00062",2015
"32",55,57,0,1993,2013,NA,0,2033,"7","8","7","7","N","NECEDAH NWR              ","COAVER ROAD       ","000032530-00075",2015
"33",55,57,0,1976,2013,NA,2005,2033,"8","6","6","7","N","NECEDAH NWR              ","DANIELSON ROAD    ","000032530-00079",2015
"34",55,57,0,1976,2013,2013,2005,2033,"8","7","5","6","N","NECEDAH NWR              ","HANSON ROAD       ","000032530-00080",2015
"35",55,57,0,1977,2013,NA,0,2033,"6","7","6","5","N","NECEDAH NWR              ","CAMP ROAD         ","000032530-00081",2015
"36",55,57,0,1993,2013,NA,0,2033,"7","7","7","6","N","NECEDAH NWR              ","BEWICK ROAD       ","000032530-00123",2015
"37",55,121,0,1994,2013,NA,0,2033,"7","7","7","7","N","TREMPEALEAU NWR          ","ENTRANCE ROAD     ","000032578-00043",2015
"38",55,37,0,2003,0,NA,0,2035,"7","7","7","8","N","NO DATA ENTERED          ","NO DATA ENTERED   ","01000003316    ",2015
"39",55,99,0,1982,1977,NA,0,2035,"6","7","6","7","N","1.1M. E. JCT. CTH H      ","FR131             ","090201000001000",2015
"40",55,99,0,1997,1978,NA,0,2035,"8","8","8","7","N","8.5M. S. JCT. STH 70     ","FR136             ","090201000001001",2015
"41",55,99,0,1991,1993,NA,0,2035,"7","7","8","8","N","2.7 M. S. JCT STH 182    ","FR 148            ","090201000001004",2015
"42",55,99,0,1973,1978,NA,0,2035,"7","7","7","7","N","2.7 M. S. JCT STH 182    ","FR149             ","090201000001005",2015
"43",55,99,0,1975,1978,NA,0,2035,"7","7","6","6","N","0.6 M. S. JCT STH 182    ","FR152             ","090201000001006",2015
"44",55,99,0,1961,0,NA,0,2035,"N","N","N","5","6","NO DATA ENTERED          ","FR519             ","090201000001094",2015
"45",55,3,0,1953,1978,NA,0,2035,"6","7","6","6","N","4.0 M. E. JCT CTH GG     ","FR164             ","090202000001007",2015
"46",55,3,0,1951,1978,NA,0,2035,"5","5","5","6","N","9.8 M. S. JCT STH 77     ","FR164             ","090202000001011",2015
"47",55,3,0,1953,1978,NA,0,2035,"5","7","5","4","N","8.0 M. N. JCT STH 70     ","FR162             ","090202000001012",2015
"48",55,3,0,1951,1978,NA,0,2035,"7","7","7","7","N","2.0 M. N. JCT CTH GG     ","FR187             ","090202000001017",2015
"49",55,3,0,1988,1978,NA,0,2035,"6","6","5","6","N","4.0 M. S. JCT CTH GG     ","FR183             ","090202000001018",2015
"50",55,3,0,1954,2005,NA,0,2035,"7","7","7","6","N","5.3 M. S. JCT CTH E      ","FR199             ","090202000001019",2015
"51",55,3,0,1975,1978,NA,0,2035,"7","8","7","7","N","1.0 M. W. JCT CTH GG     ","FR196             ","090202000001021",2015
"52",55,3,0,1956,1978,NA,0,2035,"6","6","6","6","N","1.2 M. W. JCT STH 13     ","FR184             ","090202000001024",2015
"53",55,3,0,2001,1978,NA,0,2035,"8","8","8","7","N","5.0 M. W. JCT. CTH C     ","FR189             ","090202000001025",2015
"54",55,3,0,1952,1978,NA,0,2035,"7","7","6","7","N","5.0 M. S. JCT STH 77     ","FR168             ","090202000001027",2015
"55",55,119,0,1985,1983,NA,0,2035,"7","8","7","8","N","1.9 M. E. JCT CTH E      ","FR106             ","090203000001028",2015
"56",55,119,0,1980,1983,NA,0,2035,"6","7","5","6","N","2.3 M. S. JCT CTH D      ","FR108             ","090203000001029",2015
"57",55,119,0,1990,1983,NA,0,2035,"7","7","6","7","N","1.7 M. W. JCT CTH E      ","FR102             ","090203000001030",2015
"58",55,119,0,1969,1983,NA,0,2035,"6","6","7","7","N","0.1 M. E. JCT CTH G      ","FR121             ","090203000001032",2015
"59",55,119,0,1999,1983,NA,0,2035,"7","8","7","7","N","2.8 M. E. JCT CTH E      ","FR102             ","090203000001033",2015
"60",55,119,0,1953,1983,NA,0,2035,"6","7","7","7","N","4.0 M. N. JCT CTH M.     ","FR112             ","090203000001035",2015
"61",55,119,0,1955,1983,NA,0,2035,"7","7","7","7","N","4.1 M. S. JCT CTH D      ","FR112             ","090203000001036",2015
"62",55,119,0,1998,0,NA,0,2035,"N","N","N","8","8","NO DATA ENTERED          ","FR103             ","090203000001054",2015
"63",55,113,0,1985,1978,NA,0,2035,"7","7","6","7","N","4.8 M. W. JCT CTH GG     ","FR172             ","090204000001009",2015
"64",55,113,0,1952,1978,NA,0,2035,"5","7","7","6","N","5.9 M. S. JECT STH 77    ","FR174             ","090204000001013",2015
"65",55,113,0,1996,1978,NA,0,2035,"7","7","6","7","N","8.0 M. W. JCT CTH GG     ","FR173             ","090204000001014",2015
"66",55,7,0,1993,1978,NA,0,2035,"7","8","7","7","N","6.5 M. N. JCT CTH M      ","FR194             ","090204000001015",2015
"67",55,113,0,1937,1978,NA,0,2035,"7","6","4","7","N","6.0 M. S. JCT CTH GG     ","FR1666            ","090204000001016",2015
"68",55,7,0,1959,1978,NA,0,2035,"7","7","7","6","N","6.5 M. E. JCT CTH D      ","FR198             ","090204000001020",2015
"69",55,7,0,1950,1978,NA,0,2035,"6","6","6","8","N","5.0 M. N. JCT CTH M      ","FR196             ","090204000001022",2015
"70",55,113,0,1952,1978,NA,0,2035,"7","7","7","5","N","3.4 M. S. JCT STH 77     ","FR174             ","090204000001023",2015
"71",55,113,0,1997,1978,NA,0,2035,"7","8","8","6","N","1.0 M. S. JCT STH 77     ","FR174             ","090204000001026",2015
"72",55,113,0,1953,1978,NA,0,2035,"7","6","6","6","N","2.0 M E JCT CTH B        ","FR177             ","090204000001042",2015
"73",55,41,64050,1980,0,NA,0,2012,"7","6","7","6","N","3.8 MI E OF JCT STH 55   ","FR 2169           ","090602000001000",2015
"74",55,41,0,1949,0,NA,1984,2012,"7","7","4","3","N","2.8 MI W OF JCT STH 55   ","FR 2174           ","090602000001001",2015
"75",55,41,0,1984,0,NA,0,2012,"6","7","7","7","N","5.9 MI W OF JCT STH 55   ","FR 2174           ","090602000001002",2015
"76",55,41,0,1982,0,NA,0,2012,"7","7","7","7","N","7.3 MI S OF JCT STH 70   ","FR 2169           ","090602000001012",2015
"77",55,37,25575,1980,0,NA,0,2012,"6","5","7","7","N","6.0 MI N OF JCT USH 8    ","FR 2159           ","090602000001015",2015
"78",55,41,69625,1982,0,NA,0,2012,"7","7","6","7","N","5.4 MI W OF JCT STH 139  ","FR 2167           ","090602000001016",2015
"79",55,37,25575,1958,0,NA,1985,2012,"7","5","6","6","N","5.3 MI E OF JCT STH 139  ","FR 2398           ","090602000001020",2015
"80",55,41,1625,1963,0,NA,0,2012,"6","5","5","5","N","2.3 MI N OF JCT STH 70   ","FR 2458           ","090602000001021",2015
"81",55,37,45625,1949,0,NA,1991,2012,"6","7","6","5","N","3 MI S OF JCT STH 70     ","FR 2156           ","090603000001004",2015
"82",55,83,68400,1982,0,NA,0,2012,"7","7","7","7","N","0.04 MI E OF JCT FR 2106 ","FR 2070           ","090604000001005",2015
"83",55,83,2900,1957,0,NA,1984,2012,"7","7","6","6","N","3.2 MI S OF JCT CTH W    ","FR 2112           ","090604000001006",2015
"84",55,83,68400,1968,0,NA,1986,2012,"7","6","7","7","N","2.3 MI S OF JCT CTH F    ","FR 2330           ","090604000001017",2015
"85",55,83,0,1960,0,NA,0,2035,"N","N","N","7","4","NO DATA ENTERED          ","FR 2630           ","090604000001047",2015
"86",55,41,0,1977,0,NA,0,2012,"6","7","4","7","N","8.8 MI E OF JCT CTH H    ","FR 2131           ","090605000001007",2015
"87",55,41,0,1952,0,NA,1985,2012,"7","7","5","7","N","7.8 MI N OF JCT CTH C    ","FR 2134           ","090605000001009",2015
"88",55,41,7950,1949,0,NA,1986,2012,"6","6","5","6","N","7.5 MI E OF JCT CTH H    ","FR 2134           ","090605000001010",2015
"89",55,41,7950,1975,0,NA,1980,2012,"6","6","5","7","N","4.6 MI E OF JCT USH 8    ","FR 2131           ","090605000001011",2015
"90",55,41,55000,1980,0,NA,0,2012,"7","6","7","7","N","0.3 MI N OF JCT CTH C    ","FR 2141           ","090605000001013",2015
"91",55,41,0,1951,0,NA,1987,2012,"6","6","6","6","N","5.2 MI N OF JCT C        ","FR 2141           ","090605000001014",2015
"92",55,41,0,1968,0,NA,1986,2012,"5","7","6","7","N","3.3 MI S OF JCT USH 8    ","FR 2371           ","090605000001018",2015
"93",55,41,0,2006,0,NA,0,2012,"N","N","N","8","9","2.0 MI W OF JCT CTH S    ","FR 2186           ","090605000001023",2015
"94",55,99,0,1961,1975,NA,0,2035,"N","N","N","6","7","13 M. NE PHILLIPS  WI    ","FR131             ","091301000001037",2015
"95",55,99,0,2001,0,NA,0,2001,"7","7","7","8","N","NO DATA ENTERED          ","FR 153            ","091301000003081",2015
"96",55,3,0,2002,0,NA,0,2035,"7","8","7","8","N",".1 MI NORTH OF 377/378 IN","FR371             ","091302000003070",2015
"97",55,113,0,2006,0,NA,0,2035,"8","8","8","6","N","7.4 M. S. JCT CTH E      ","FR 199            ","091302000010814",2015
"98",55,41,0,2009,0,NA,0,2035,"7","7","7","8","N","5.8 MI W OF JCT STH 55   ","FR2182            ","091303000013222",2015
"99",55,1,44250,1975,2012,2014,0,2033,"8","8","8","7","N","1.3M S JCT STH 21        ","CTH Z             ","B01000200000000",2015
"100",55,1,65450,1981,2012,2014,0,2033,"7","8","7","8","N","1.5M W JCT STH 13        ","LRD 13TH LANE     ","B01000300000000",2015
"101",55,1,65450,1984,2012,2014,0,2033,"8","8","7","4","N","3.2M E JCT STH 13        ","LRD CZECH RD      ","B01000400000000",2015
"102",55,1,65450,1984,2012,2014,0,2033,"7","7","8","5","N","2.0M S JCT STH 21        ","LRD 13TH DR       ","B01000500000000",2015
"103",55,1,7300,1984,2012,2014,0,2033,"8","8","8","5","N","1.4M E JCT STH 13        ","LRD BROWNDEER LANE","B01000600000000",2015
"104",55,1,65450,1986,2012,2014,0,2033,"7","7","8","6","N","0.1M N JCT CTH J         ","LRD 8TH DRIVE     ","B01000700000000",2015
"105",55,1,65450,1986,2012,2014,0,2033,"7","7","8","6","N","0.5M N JCT STH 21        ","LRD 8TH DRIVE     ","B01000800000000",2015
"106",55,1,65450,1988,2012,2014,0,2033,"8","8","8","7","N","1.8M N JCT CTH J         ","LRD 8TH AVE       ","B01000900000000",2015
"107",55,1,65450,1990,2012,2014,0,2033,"7","7","8","5","N","1.7M E JCT STH 13        ","LRD COTTONVILLE AV","B01001000000000",2015
"108",55,1,22000,1988,2012,2014,0,2033,"7","7","7","6","N","0.1M N JCT CTH H         ","LRD 15TH AVE      ","B01001200000000",2015
"109",55,1,77800,1959,2012,2014,2002,2032,"7","7","6","8","N","2.2M E JCT CTH G         ","STH 21            ","B01001300000000",2015
"110",55,1,16075,1989,2012,2014,0,2033,"7","7","8","7","N","2.3M N JCT CTH C         ","LRD 6TH AVE       ","B01001400000000",2015
"111",55,1,77800,1991,2012,2014,0,2033,"7","7","7","5","N","1.2M S JCT STH 21        ","LRD 18TH AVE      ","B01001500000000",2015
"112",55,1,77800,1989,2012,2014,0,2033,"7","7","7","5","N","2.2M S JCT STH 21        ","LRD 20TH AVENUE   ","B01001600000000",2015
"113",55,1,27950,1993,2012,2014,0,2032,"6","7","7","8","N","0.1M N JCT CTH J         ","STH 13-MAIN ST    ","B01001700000000",2015
"114",55,1,65825,1991,2012,2014,0,2033,"8","8","6","8","N","0.4M S JCT CTH F         ","CTH Z             ","B01001800000000",2015
"115",55,1,56525,1997,2012,2014,0,2033,"7","7","7","N","N","2.4M E JCT CTH B         ","LRD ELK AVE       ","B01001900000000",2015
"116",55,1,19575,1997,2012,2014,0,2030,"7","8","8","N","N","2.0M S JCT STH 13        ","LRD RIVER ROAD    ","B01002000000000",2015
"117",55,1,7300,1999,2012,2014,0,2033,"8","9","9","8","N","2.7M E JCT STH 13        ","CTH C             ","B01002100000000",2015
"118",55,1,65450,2001,2012,2014,0,2033,"7","7","8","6","N","1.4M S JCT STH 21        ","LRD 11TH AVE      ","B01002200000000",2015
"119",55,1,22000,2003,2012,2014,0,2033,"8","8","8","7","N","1.6 MI EAST JCT CTH Z    ","CTH H             ","B01002300000000",2015
"120",55,1,43425,2005,2012,2014,0,2033,"8","8","8","8","N","1.1 MI N. JCT CTH O      ","CTH W             ","B01002500000000",2015
"121",55,1,43425,2006,2012,2014,0,2033,"7","7","8","8","N","1.8 MILES W. JCT. CTH W  ","CTH O             ","B01002800000000",2015
"122",55,1,43425,2006,2012,2014,0,2033,"7","7","8","6","N","1.3 MILES W. JCT. CTH W  ","CTH O             ","B01002900000000",2015
"123",55,1,65825,2009,2012,2014,0,2033,"7","8","8","8","N","0.6M W JCT CTH Z         ","LRD EDGEWOOD DR   ","B01003000000000",2015
"124",55,1,43425,2013,2012,2014,0,2033,"9","9","9","7","N","1.3MI N OF CTH           ","CTH G             ","B01003100000000",2015
"125",55,1,77800,2010,2012,2014,0,2032,"8","8","8","8","N","1.2M E OF 18TH AVE       ","STH 21            ","B01003200000000",2015
"126",55,1,65450,2012,2012,2014,0,2030,"8","8","8","8","N","2.4M N JCT STH 21        ","STH 13            ","B01003300000000",2015
"127",55,1,65450,1937,2012,2014,1993,2032,"7","7","6","7","N","1.7M N JCT CTH J         ","STH 13            ","B01003600000000",2015
"128",55,1,77800,1950,2012,2014,1993,2032,"6","7","6","7","N","2.9M E JCT CTH Z         ","STH 21            ","B01032500000000",2015
"129",55,1,69275,1957,2012,2014,0,2032,"N","N","N","7","6","6.3M N JCT CTH C         ","STH 13            ","B01053700000000",2015
"130",55,3,86850,1955,2012,2014,1989,2033,"5","6","7","8","N","2.4M N JCT STH 13        ","STH 112           ","B02000400000000",2015
"131",55,3,71350,1960,2012,2014,1985,2033,"6","7","7","7","N","0.5M E JCT CTH A TO S    ","USH IRR (USH 2)   ","B02000500000000",2015
"132",55,3,71350,1961,2012,2014,0,2033,"6","7","7","8","N","0.1M E JCT CTH A TO S    ","USH 2             ","B02000600000000",2015
"133",55,3,14550,1948,2012,2014,1966,2033,"6","7","7","8","N","8.0M N JCT STH 70        ","CTH GG            ","B02000700000000",2015
"134",55,3,72825,1949,2012,2014,1969,2033,"8","8","7","6","N","3.5M S JCT STH 77        ","CTH GG            ","B02000800000000",2015
"135",55,3,50700,1964,2012,2014,0,2033,"5","7","7","6","N","0.5M E JCT STH 13 TO N   ","STH 77-LAKE DR    ","B02000900000000",2015
"136",55,3,72825,1956,2012,2014,1967,2033,"6","8","7","8","N","6.5M S JCT STH 77        ","CTH GG            ","B02001000000000",2015
"137",55,3,3225,1969,2012,2014,0,2033,"N","N","N","6","7","0.6M E JCT STH 13 TO S   ","USH 2-FRONT ST    ","B02001100000000",2015
"138",55,3,86850,1971,2012,2014,2003,2033,"7","7","7","8","N","1.6M N JCT CTH C         ","STH 13            ","B02001200000000",2015
"139",55,3,49200,1971,2012,2014,2003,2033,"7","7","7","7","N","0.5M N JCT CTH C         ","STH 13            ","B02001300000000",2015
"140",55,3,71350,1976,2012,2014,0,2033,"5","8","7","8","N","6.3M E JCT STH 13 TO S   ","USH IRR (USH 2)   ","B02001400000000",2015
"141",55,3,50700,1975,2012,2014,0,2033,"5","7","7","8","N","0.2M E JCT STH 13 TO N   ","STH 77-LAKE DR    ","B02001500000000",2015
"142",55,3,49200,1976,2012,2014,0,2033,"7","8","8","6","N","0.5M W JCT STH 13        ","CTH C             ","B02001600000000",2015
"143",55,3,11525,1976,2012,2014,0,2033,"7","7","6","7","N","0.2M S JCT CTH F         ","LRD E MAIN ST     ","B02001700000000",2015
"144",55,3,3250,1976,2012,2014,0,2033,"7","8","7","8","N","1.3M E JCT STH 13        ","CTH C             ","B02001800000000",2015
"145",55,3,11525,1977,2012,2014,0,2033,"7","6","8","6","N","0.5M E OF JCT STH 13     ","CTH F   ILLINOIS S","B02001900000000",2015
"146",55,3,11525,1978,2012,2014,0,2033,"7","8","8","6","N","1.0M E JCT STH 13        ","CTH F             ","B02002000000000",2015
"147",55,3,71350,1980,2012,2014,0,2033,"N","N","N","6","6","2.5M E JCT CTH A TO S    ","USH IRR (USH 2)   ","B02002200000000",2015
"148",55,3,86850,1982,2012,2014,0,2033,"7","8","7","7","N","0.9M S JCT STH 112       ","LRD REIMER RD     ","B02002300000000",2015
"149",55,3,29875,1985,2012,2014,0,2033,"5","7","8","8","N","6.2M N JCT STH 77 TO W   ","STH 13-STH 77     ","B02002500000000",2015
"150",55,3,54400,1987,2012,2014,0,2033,"5","6","7","8","N","0.4M N JCT STH 13        ","STH 169           ","B02002600000000",2015
"151",55,3,29875,1986,2012,2014,0,2033,"7","7","7","6","N","0.2M E JCT CTH X         ","LRD F R 180       ","B02002700000000",2015
"152",55,3,29875,1988,2012,2014,0,2033,"7","8","8","8","N","4.2M E JCT STH 13        ","LRD MANKENBURG RD ","B02002800000000",2015
"153",55,3,29875,1988,2012,2014,0,2033,"7","7","7","6","N","0.6M S JCT STH 13        ","LRD GORDON LAKE RD","B02002900000000",2015
"154",55,3,86850,1988,2012,2014,0,2033,"7","7","7","6","N","1.5M W JCT STH 13        ","LRD MARENGO RD    ","B02003000000000",2015
"155",55,3,72825,1970,2012,2014,1987,2033,"7","7","3","6","N","2.4M S JCT CTH D         ","LRD PIEPER RD (DEA","B02003100000000",2015
"156",55,3,86850,1990,2012,2014,0,2033,"7","7","7","7","N","2.0M S JCT STH 112       ","CTH C             ","B02003200000000",2015
"157",55,3,50700,1989,2012,2014,0,2033,"6","7","7","8","N","3.1M N JCT CTH MM        ","STH 13-STH 77-MAIN","B02003300000000",2015
"158",55,3,61600,1990,2012,2014,0,2033,"7","7","8","7","N","3.3M E JCT STH 13        ","CTH N             ","B02003400000000",2015
"159",55,3,86850,1990,2012,2014,0,2033,"7","7","7","4","N","1.0M E JCT STH 13        ","LRD SOSIN ROAD    ","B02003500000000",2015
"160",55,3,54400,1989,2012,2014,0,2033,"7","7","8","8","N","0.3M N JCT STH 169       ","LRD WILL RD (DEAD ","B02003600000000",2015
"161",55,3,54400,1990,2012,2014,0,2033,"8","8","8","6","N","0.2M W JCT STH 13        ","LRD CAYUGA ROAD   ","B02003700000000",2015
"162",55,3,37775,1990,2012,2014,0,2033,"7","7","6","6","N","2.8M S JCT CTH D         ","LRD GEORGE BAY ROA","B02003800000000",2015
"163",55,3,54400,1991,2012,2014,0,2033,"7","8","8","8","N","0.7M N JCT STH 169       ","LRD STRICKER RD (D","B02004100000000",2015
"164",55,3,550,1992,2012,2014,0,2033,"7","9","8","8","N","11.6M E JCT STH 13       ","CTH F             ","B02004200000000",2015
"165",55,3,54400,1993,2012,2014,0,2033,"6","7","7","7","N","8.1M N JCT STH 13        ","STH 169           ","B02004300000000",2015
"166",55,3,50700,1993,2012,2014,0,2033,"7","7","8","8","N","0.2M S JCT STH 77        ","LRD 1ST AVE       ","B02004400000000",2015
"167",55,3,50700,1993,2012,2014,0,2033,"7","7","8","8","N","0.2M S JCT CTH GG        ","LRD THOMAS ST     ","B02004500000000",2015
"168",55,3,29875,1997,2012,2014,0,2033,"8","8","7","8","N","1.7M N JCT CTH D         ","STH 13            ","B02004600000000",2015
"169",55,3,37775,1997,2012,2014,0,2033,"7","7","7","8","N","9.1M N JCT CTH F         ","STH 13            ","B02004700000000",2015
"170",55,3,50700,1996,2012,2014,0,2033,"7","7","8","8","N","0.3M N JCT STH 77        ","LRD BUTLER RD     ","B02004900000000",2015
"171",55,3,37775,1997,2012,2014,0,2033,"8","8","8","8","N","0.6M W JCT CTH N         ","LRD MACKENBERG-LEN","B02005100000000",2015
"172",55,3,54400,1996,2012,2014,0,2033,"7","7","8","8","N","2.6M S JCT CTH MM        ","LRD LONG LAKE RD  ","B02005200000000",2015
"173",55,3,86850,1998,2012,2014,0,2033,"7","8","8","8","N","1.8M S JCT STH 112       ","LRD MIKA ROAD     ","B02005300000000",2015
"174",55,3,86850,2001,2012,2014,0,2033,"7","7","7","7","N","0.7M N JCT CTH C         ","LRD IRR (GOVERNMEN","B02005400000000",2015
"175",55,3,29875,1998,2012,2014,0,2033,"7","7","6","8","N","SPILLERBERG CR           ","LRD MORSE RD      ","B02005500000000",2015
"176",55,3,71350,1999,2012,2014,0,2033,"8","8","8","8","N","0.9M N JCT USH 2         ","LRD GOSLIN ROAD (D","B02005600000000",2015
"177",55,3,11525,2000,2012,2014,0,2033,"6","8","8","8","N","6.0M N JCT STH 182       ","STH 13            ","B02005700000000",2015
"178",55,3,61600,2003,2012,2014,0,2033,"8","8","8","8","N","3.0M E JCT CTH N         ","LRD MASTERSON FIRE","B02005800000000",2015
"179",55,3,29250,2003,2012,2014,0,2033,"8","9","8","8","N","5.1M N JCT STH 112  (C)  ","STH 13            ","B02005900000000",2015
"180",55,3,550,2004,2012,2014,0,2033,"7","7","9","8","N","1.7 M E JCT STH 13       ","CTH F             ","B02006000000000",2015
"181",55,3,29875,2004,2012,2014,0,2033,"7","7","7","7","N","0.3 M E. JCT STH 13      ","LRD MORSE RD      ","B02006200000000",2015
"182",55,3,37775,2011,2011,2014,0,2031,"7","8","9","9","N","0.2M E JCT STH 13        ","CTH N             ","B02006400000000",2015
"183",55,3,86850,1926,2012,2014,1985,2033,"5","7","6","8","N","3.7M N JCT CTH E         ","STH 112           ","B02041400000000",2015
"184",55,3,49200,1948,2012,2014,1960,2033,"7","7","6","7","N","6.0M N JCT STH 77        ","CTH GG            ","B02042300000000",2015
"185",55,5,67350,1919,2012,2014,1949,2033,"4","7","6","8","N","0.8M S JCT STH 48        ","LRD MAIN AVE      ","B03000200000000",2015
"186",55,5,76550,1951,2011,2014,1991,2032,"6","7","5","7","N","7.3M N JCT USH 8 TO E    ","STH 25            ","B03000600000000",2015
"187",55,5,76600,1952,2012,2014,0,2033,"6","7","5","8","N","3.3M N JCT USH 8         ","CTH SS S/B        ","B03000800000000",2015
"188",55,5,4875,1958,2011,2014,2004,2032,"7","8","7","8","N","4.0M N JCT CTH D TO W    ","STH 25-MILL ST    ","B03000900000000",2015
"189",55,5,4875,1964,2011,2014,2006,2032,"8","7","7","8","N","0.3M N JCT USH 8 TO E    ","STH 25-7TH ST     ","B03001000000000",2015
"190",55,5,76600,1978,2012,2014,0,2033,"7","7","7","8","N","1.0M N JCT USH 8         ","CTH W             ","B03001100000000",2015
"191",55,5,18600,1970,2011,2014,0,2032,"N","N","N","6","7","1.2M N JCT CTH V         ","STH 25            ","B03001200000000",2015
"192",55,5,48825,1970,2011,2014,0,2032,"N","N","N","6","7","2.9M N JCT CTH D TO W    ","STH 25            ","B03001300000000",2015
"193",55,5,20650,1972,2012,2014,0,2032,"4","7","7","N","N","7.1M S JCT CTH I TO E    ","USH 53 SB         ","B03001400000000",2015
"194",55,5,20650,1972,2012,2014,0,2032,"4","6","7","N","N","1.5M N JCT CTH M TO E    ","USH 53 NB         ","B03001500000000",2015
"195",55,5,20650,1972,2012,2014,0,2032,"5","5","7","N","N","4.2M S JCT CTH I TO E    ","USH 53 SB         ","B03001600000000",2015
